amount,end_block,start_block,borrower,account,no_of_block
19.987002436574162,20459310,20379307,0x12478d1a60a910C9CbFFb90648766a2bDD5918f5,0x0b330456D034471b8A310E72DC9367650dA9B8E2,80003
413.4436884161317,20487307,20379307,0x5Db2d2a055466E0C5d4CF09869cF2E2CFc47b157,0x0b6413459566E3B6895C7c085da0cB9401610034,108000
0.12473676772976644,20487307,20379307,0xc3Be098f9594E57A3e71f485a53d990FE3961fe5,0x0CdD5c2bef98416cb8713a2d1566d25B30cC6f16,108000
194.339766647271,20487307,20379307,0xD1B670E5413a4d08C02A561f57259817199D586a,0x0D6A80B15DBaF7b593f939B2034024fd52D94b58,108000
0.000000000000000002,20487307,20379307,0x5e46f0D1B3e1Cf21d584FB557F98eb3EA4A19059,0x0DBd871FDcF5c40403169Cca52a25DDc7B7cD838,108000
147.11929417520358,20487307,20379307,0xb7693d3f040d66ab89ab86E7f8688C01feBbC77C,0x0Dc08c035d5c62467A7a2F4F5ce9Cd2E98373cC3,108000
16.00263073267055,20487307,20379307,0x48453545fF70De22EF48651C8654bFF3973511Af,0x10cD35f5C616148F5072F074256cEa6F7f2Fe581,108000
0.000000000000000001,20487307,20379307,0x00CD2ff07447e2372549AC54Fba8548BEf968687,0x1158e934f91952116A088fb15741C846783A66be,108000
749.4326964461291,20487307,20379307,0xcF63E1C31805254b6fB3Ed7829206c2b2505e3a7,0x13C8eB0DCCa7117D72731A6F16A32bA96b9F0913,108000
93.31117280864471,20487307,20379307,0x915188A790Dcdd06447244196694C9f8a7d2b4C0,0x141F07307d9DC12A855Bcc65954799f5Cd719945,108000
756.5827168526991,20487307,20379307,0x4347Dd04A5a83228E65894C4f476612e66d90585,0x14cEf3D7779464e9B9457B5a9Ec8CD0a7094b309,108000
238.51316940973484,20487307,20379307,0xABBb9Eb2512904123f9d372f26e2390a190d8550,0x1783a43aE0a4F608C61e1fa160C6852eE0Ef4e4a,108000
132.89963666418996,20487307,20379307,0x915188A790Dcdd06447244196694C9f8a7d2b4C0,0x1a3D762FaB4B256d28a6C212b7f9Ff6CFE454d3a,108000
86.08200644126084,20487307,20379307,0xEe13dD7eBE6F0B05aFC93dD0Ea4f5b0c8D821C1e,0x1CAd285860f36E1B72E52718755048ad5C458a1f,108000
88.76627170760345,20487307,20379307,0x736DdE3E0F5c588dDC53ad7f0F65667C0Cca2801,0x1e304F5471914FF1B9e49f29D9957C20403fc3d8,108000
0.476117115344077,20487307,20379307,0xA6C9B30b3464d575e721f40e3bDeAf6568d82165,0x1e4b14fE2eBadDEC61d30D64115b9ecb06287372,108000
0.000000000000000002,20487307,20379307,0xc2eDdAE2045D48223166d1CAB66fED3c7C97c9d6,0x1eC55081EdF80AEA1Ff6B61560A7b693D57Add5B,108000
127.87893861416471,20487307,20379307,0x5a34897A6c1607811Ae763350839720c02107682,0x211ec501287460DdeE9CFCd7dEf224FAE6367706,108000
227.28602264195496,20487307,20379307,0xb246275ab015CD3a62Ad46b992b92E4e2EE10dF9,0x225D1d8dB006e8D9293A79c9c1150AAc992278F4,108000
0.000000000000000001,20487307,20379307,0xFdbBfB0Fe2986672af97Eca0e797D76A0bbF35c9,0x226E561B2c80307C3e982b7312bf22dd1f5aA689,108000
151.5890550602213,20487307,20379307,0x0676Ee140902CD4f932F0e9246C334361bFA3e9a,0x234eb9FB55F80CA1573F89A7a8B21B27fe6729A5,108000
682.9933705495691,20487307,20379307,0x29754d7A9F9F344327158E2D01508EFA415BD558,0x24Ed6EB99C9AA7229336aaA05b4f3B07827404eA,108000
119.49516222972912,20487307,20379307,0x055B29979f6BC27669Ebd54182588FeF12ffBFc0,0x290EdF30B1C4697CEf41CDac9787E5303dC1d1D5,108000
122.40072843251565,20487307,20379307,0xC71deD6f0E5660DFe79C849058Afd9BE7a3c85b8,0x2977D8CeCe8D1b7224275696B97D889f7BCbEb0B,108000
2.5242676038318534,20487307,20379307,0xA6C9B30b3464d575e721f40e3bDeAf6568d82165,0x2C28f83b7fc4A1BD1A79E52bA47af38e0A4f23F8,108000
0.000000000000000002,20487307,20379307,0x5a34897A6c1607811Ae763350839720c02107682,0x2C7A33957F462f193B627DdF141D0b05cE7B1f00,108000
